"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"AU-R-000966","Marihuana Retailer - License","Elevated Exotics","923 Ludington ST, Escanaba MI 49829","06/16/2024","Active",,,
"AU-P-000409","Marihuana Processor - License","PurOils, LLC","102 Sunrise ST, Edmore MI 48829","04/05/2024","Active",,,
"AU-MEO-000180","Marihuana Event Organizer - License","Legalrec LLC",,"04/05/2024","Active",,,
"AU-R-000961","Marihuana Retailer - License","High Society Wellness LLC","415 N State RD, Davison MI 48423","04/05/2024","Active",,,
"AU-G-C-001149","Class C Marihuana Grower - License","Greensmith Cultivation","2919 S Martin Luther King BLVD, Lansing MI 48910","04/05/2024","Active",,,
"AU-MEO-000179","Marihuana Event Organizer - License","Denisha Stokes","4411 Somerset, Detroit MI 48224","04/05/2024","Active",,,
"AU-ER-003773","Adult-Use Entity Registration - License","Ballstars, LLC",,"04/05/2025","Active - Main Prequalified",,,
"AU-ER-003891","Adult-Use Entity Registration - License","Frost Cultivation LLC",,"04/05/2025","Active - Main Prequalified",,,
"AU-ER-003884","Adult-Use Entity Registration - License","P!peline 1 LLC",,"04/05/2025","Active - Main Prequalified",,,
"AU-ER-003777","Adult-Use Entity Registration - License","KMN Enterprises, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-003749","Adult-Use Entity Registration - License","Git Wright LLC",,"04/04/2025","Active - Main Prequalified",,,
"AU-ER-003917","Adult-Use Entity Registration - License","Flos, LLC",,"04/04/2025","Active - Main Prequalified",,,
"AU-ER-003868","Adult-Use Entity Registration - License","Interstate 420, LLC",,"04/04/2025","Active - Main Prequalified",,,
"AU-G-C-001145","Class C Marihuana Grower - License","True Health MI","2101 W.Willow ST, Lansing MI 48917","08/28/2023","Active",,,
"AU-G-C-001144","Class C Marihuana Grower - License","True Health MI","2101 W. Willow ST, Lansing MI 48917","08/28/2023","Active",,,
"AU-G-C-001161","Class C Marihuana Grower - License","Greenberry Farms LLC","55949 Huff RD, Marcellus MI 49067","04/04/2024","Active",,,
"AU-P-000412","Marihuana Processor - License","Mac Pharms","25225 EASY ST Suite B, Warren MI 48089","04/04/2024","Active",,,
"AU-G-C-001143","Class C Marihuana Grower - License","True Health MI","2101 W. Willow ST, Lansing MI 48917","08/28/2023","Active",,,
"AU-G-C-001142","Class C Marihuana Grower - License","True Health MI","2101 W. Willow ST, Lansing MI 48917","08/28/2023","Active",,,
"AU-G-C-001141","Class C Marihuana Grower - License","True Health MI","2101 W. Willow ST, Lansing MI 48917","08/28/2023","Active",,,
"AU-ER-003906","Adult-Use Entity Registration - License","Relaxation Destination, Inc.",,"04/04/2025","Active - Main Prequalified",,,
"AU-G-B-000248","Class B Marihuana Grower - License","Forest Brothers","23300 Amber AVE, Warren MI 48089","04/04/2024","Active",,,
"AU-G-B-000250","Class B Marihuana Grower - License","Bud Bundy Farms, LLC","7044 State RD, Millington MI 48746","04/04/2024","Active",,,
"AU-G-C-001148","Class C Marihuana Grower - License","120 WEST JOINT VENTURE","3306 North Martin Luther King Jr. BLVD, Lansing MI 48906","05/11/2024","Active",,,
"AU-ER-003894","Adult-Use Entity Registration - License","Midtown Weed Works",,"04/03/2025","Active - Main Prequalified",,,
"AU-G-C-001124","Class C Marihuana Grower - License","Vasmed, LLC.","6838 Sheridan RD, Vassar Twp MI 48768","10/20/2023","Active",,,
"AU-MB-A-000005","Class A Marihuana Microbusiness - License","Southland Farms","215 South 11th ST, Niles MI 49120","04/03/2024","Active",,,
"AU-ER-003110","Adult-Use Entity Registration - License","Serenity Farmz LLC",,"04/03/2025","Active - Main Prequalified",,,
"AU-G-C-001139","Class C Marihuana Grower - License","KRAVE CANNABIS CO. LLC","43275 Irwin, Harrison Township MI 48045","11/18/2023","Active",,,
"AU-G-C-001157","Class C Marihuana Grower - License","The Tree Company","683 Sheridan ST Bldg, Jackson MI 49203","03/31/2024","Active",,,
"AU-SC-000139","Marihuana Safety Compliance Facility - License","LAJA Investments 2 LLC","550 E. Cork ST, Kalamazoo MI 49001","03/31/2024","Active",,,
"AU-G-C-001163","Class C Marihuana Grower - License","Biogold, LLC","711 White Oak ST, Decatur MI 49045","04/22/2024","Active",,,
"AU-ER-003797","Adult-Use Entity Registration - License","BBB3, LLC",,"03/30/2025","Active - Main Prequalified",,,
"AU-ER-003852","Adult-Use Entity Registration - License","VC Invests, Inc.",,"03/30/2025","Active - Main Prequalified",,,
"AU-R-000954","Marihuana Retailer - License","Lighthouse T C","704 S Garfield Ave, Traverse City MI 49686","03/30/2024","Active",,,
"AU-G-B-000251","Class B Marihuana Grower - License","Grow Logic Farms","1610 O'Rourke BLVD, Gaylord MI 49735","03/30/2024","Active",,,
"AU-R-000949","Marihuana Retailer - License","Bay City Tree House Club","215 S Linn ST, Bay City MI 48706","07/13/2024","Active",,,
"AU-ER-003711","Adult-Use Entity Registration - License","Snappy Processing LLC",,"03/29/2025","Active - Main Prequalified",,,
"AU-ER-003905","Adult-Use Entity Registration - License","Ypsi Wurst License LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000963","Marihuana Retailer - License","Olswell-Traverse City","728 E. Front ST, Traverse City MI 49686","07/09/2024","Active",,,
"AU-R-000945","Marihuana Retailer - License","The Woods Whitehall","1321 E. Colby ST, Whitehall MI 49461","03/29/2024","Active",,,
"AU-R-000947","Marihuana Retailer - License","House of Evolution Bay City","606 3rd ST, Bay City MI 48708","03/29/2024","Active",,,
"AU-R-000959","Marihuana Retailer - License","Gage Cannabis Company","1025 Hannah AVE, Traverse City MI 49686","06/04/2024","Active",,,
"AU-ER-003899","Adult-Use Entity Registration - License","Wing Properties LLC",,"03/29/2025","Active - Main Prequalified",,,
"AU-ER-003847","Adult-Use Entity Registration - License","Smart Meds LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-003836","Adult-Use Entity Registration - License","moonlight leaf company inc",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-001119","Class C Marihuana Grower - License","H&F Enterprises LLC","23455 Regency Park DR Suite B, Warren MI 48089","03/28/2024","Active",,,
"AU-G-C-001125","Class C Marihuana Grower - License","Medcanna LLC","2100 S. Washington AVE Suite 2014, Lansing MI 48910","03/28/2024","Active",,,
"AU-ER-003805","Adult-Use Entity Registration - License","GME Solutions, LLC",,"03/28/2025","Active - Main Prequalified",,,
"AU-ER-003766","Adult-Use Entity Registration - License","Urban Medical Farms LLC",,"03/28/2025","Active - Main Prequalified",,,
"AU-G-C-001165","Class C Marihuana Grower - License","Grasshopper Farms, LLC","29003 County Road 665, Paw Paw MI 49079","05/20/2024","Active",,,
"AU-ER-003860","Adult-Use Entity Registration - License","Prime License Group, LLC",,"03/24/2025","Active - Main Prequalified",,,
"AU-R-000953","Marihuana Retailer - License","Green Pharm TC","719 Parsons Rd., Traverse City MI 49686","08/27/2023","Active","Home Delivery - Approved",,
"AU-R-000944","Marihuana Retailer - License","Cannrose, Inc.","805 Maple ST, Big Rapids MI 49307","11/12/2023","Active",,,
"AU-R-000926","Marihuana Retailer - License","The Reef Detroit","6640 E 8 Mile RD, Detroit MI 48234","03/24/2024","Active","Home Delivery - Approved.",,
"AU-G-C-001162","Class C Marihuana Grower - License","Terrapin Harvest Circle, LLC","9313 N. Dort HWY, Mt. Morris MI 48458","03/24/2024","Active",,,
"AU-ER-003810","Adult-Use Entity Registration - License","GenTerra LLC",,"03/24/2025","Active - Main Prequalified",,,
"AU-R-000946","Marihuana Retailer - License","Pure Options - Detroit","2710 Livernois, Detroit MI 48209","03/24/2024","Active",,,
"AU-P-000411","Marihuana Processor - License","Farnan Farms LLC","7200 W. U.S. Route 12, Three Oaks MI 49128","03/24/2024","Active",,,
"AU-ER-003841","Adult-Use Entity Registration - License","Harrisville RE LLC",,"03/24/2025","Active - Main Prequalified",,,
"AU-ER-003798","Adult-Use Entity Registration - License","Utopia Labs Burton, LLC",,"03/24/2025","Active - Main Prequalified",,,
"AU-P-000400","Marihuana Processor - License","Bud & Mary's Cannabis Co., LLC","2325 N. Burdick ST, Kalamazoo MI 49007","07/20/2024","Active",,,
"AU-G-C-001126","Class C Marihuana Grower - License","Bud & Mary's Cannabis Co., LLC","2325 N. Burdick ST, Kalamazoo MI 49007","07/20/2024","Active",,,
"AU-ER-003857","Adult-Use Entity Registration - License","GC Flint Enterprises LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-P-000413","Marihuana Processor - License","True Health MI","2101 W.Willow ST, Lansing MI 48917","08/28/2023","Active",,,
"AU-ER-003851","Adult-Use Entity Registration - License","THE RELEAF CENTER OF DOWAGIAC LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-ER-003853","Adult-Use Entity Registration - License","THE RELEAF CENTER OF NEW BUFFALO LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-ER-003835","Adult-Use Entity Registration - License","RGR LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-ER-003850","Adult-Use Entity Registration - License","CANNABAR BY PAIGE LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-ER-003849","Adult-Use Entity Registration - License","TRC-BH LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-R-000951","Marihuana Retailer - License","Nirvana Center Traverse City","223 Lake AVE 1st Floor, Traverse City MI 49684","03/12/2024","Active",,,
"AU-P-000403","Marihuana Processor - License","Wonka Holdings, LLC","1400 Keystone AVE, Lansing MI 48911","03/22/2024","Active",,,
"AU-R-000958","Marihuana Retailer - License","House of Dank TC","514 Munson AVE, Traverse City MI 49686","03/22/2024","Active","Home Delivery - Approved",,
"AU-R-000937","Marihuana Retailer - License","100 Leafs","327 Capital AVE S.W., Battle Creek MI 49015","03/22/2024","Active",,,
"AU-P-000395","Marihuana Processor - License","Teleology, LLC","51525 Industrial DR, NEW BALTIMORE MI 48047","06/13/2024","Active",,,
"AU-R-000956","Marihuana Retailer - License","Cloud Cannabis Company","356 Munson AVE, Traverse City MI 49686","06/22/2024","Active",,,
"AU-P-000410","Marihuana Processor - License","M.T. of Michigan LLC","26067 Groesbeck HWY Suite B, Warren MI 48089","03/21/2024","Active",,,
"AU-R-000934","Marihuana Retailer - License","The Noggin Shop","52324 Duncan AVE, Hubbell MI 49934","03/16/2024","Active",,,
"AU-G-C-001151","Class C Marihuana Grower - License","Native Leaf, LLC","116 Enterprise DR, Reading MI 49274","03/20/2024","Active",,,
"AU-G-C-001164","Class C Marihuana Grower - License","Native Leaf, LLC","116 Enterprise DR, Reading MI 49274","03/20/2024","Active",,,
"AU-P-000408","Marihuana Processor - License","Voltano, LLC","15403 Sharon RD Suite E, Chesaning MI 48616","01/31/2024","Active",,,
"AU-ER-003840","Adult-Use Entity Registration - License","Royal Highness PC7, LLC",,"03/20/2025","Active - Main Prequalified",,,
"AU-R-000916","Marihuana Retailer - License","JARS Cannabis","2301 N Michigan AVE Suite B, Saginaw MI 48602","03/20/2024","Active","Home Delivery - Approved",,
"AU-R-000890","Marihuana Retailer - License","JARS Cannabis","11400 Eight Mile RD Suite A, Detroit MI 48205","08/07/2023","Active",,,
"AU-G-B-000247","Class B Marihuana Grower - License","My Town Greens, LLC","926 E 10 Mile RD, Hazel Park MI 48030","03/20/2024","Active",,,
"AU-P-000398","Marihuana Processor - License","My Town Greens, LLC","926 E 10 Mile RD, Hazel Park MI 48030","03/20/2024","Active",,,
"AU-R-000939","Marihuana Retailer - License","Pure Options - South Cedar","5031 S Cedar ST Suite C, Lansing MI 48910","03/18/2024","Active",,,
"AU-R-000931","Marihuana Retailer - License","Great Lakes Exotics Cannabis Co.","820 W Main ST, Gaylord MI 49735","01/13/2024","Active",,,
"AU-R-000930","Marihuana Retailer - License","Great Lakes Exotics Cannabis Co.","2625 S Otsego AVE, Gaylord MI 49735","01/13/2024","Active",,,
"AU-R-000943","Marihuana Retailer - License","Quality Roots Berkley","3916 West 11 Mile RD, Berkley MI 48072","03/17/2024","Active","Home Delivery - Approved.",,
"AU-ER-003801","Adult-Use Entity Registration - License","Bloominati Farms LLC",,"03/17/2025","Active - Main Prequalified",,,
"AU-R-000936","Marihuana Retailer - License","KING OF BUDZ PROVISIONING","10457 GRATIOT AVE Suite A, DETROIT MI 48213","03/17/2024","Active",,,
"AU-R-000940","Marihuana Retailer - License","Cloud Cannabis 28th Street","928 28th ST SE, Grand Rapids MI 49508","03/17/2024","Active",,,
"AU-G-C-001111","Class C Marihuana Grower - License","Canapa Valley Farms","700 E Huron AVE Bldg 2, Vassar MI 48768","03/16/2024","Active",,,
"AU-G-C-001112","Class C Marihuana Grower - License","Canapa Valley Farms","700 E Huron AVE Bldg 2, Vassar MI 48768","03/16/2024","Active",,,
"AU-G-C-001113","Class C Marihuana Grower - License","Canapa Valley Farms","700 E Huron AVE Bldg 2, Vassar MI 48768","03/16/2024","Active",,,
"AU-G-C-001115","Class C Marihuana Grower - License","Canapa Valley Farms","700 E Huron AVE Bldg 2, Vassar MI 48768","03/16/2024","Active",,,
"AU-G-C-001117","Class C Marihuana Grower - License","Canapa Valley Farms","700 E Huron AVE Bldg 2, Vassar MI 48768","03/16/2024","Active",,,
"AU-R-000952","Marihuana Retailer - License","PUFF TC","1226 S. Garfield AVE, Traverse City MI 49686","03/16/2024","Active",,,
"AU-ER-003820","Adult-Use Entity Registration - License","ZIP Cannabis LLC",,"03/16/2025","Active - Main Prequalified",,,
"AU-ER-003819","Adult-Use Entity Registration - License","Joint Ventures MI, Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-003809","Adult-Use Entity Registration - License","My Town Greens, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-A-000137","Class A Marihuana Grower - License","The Noggin Shop","52324 Duncan AVE, HUBBELL MI 49934","03/16/2024","Active",,,
"AU-R-000891","Marihuana Retailer - License","JARS Cannabis","7461 West 8 Mile RD, Detroit MI 48221","03/15/2024","Active",,,
"AU-G-C-001147","Class C Marihuana Grower - License","Fresh Coast Cannabis Group, LLC","4955 Lansing RD Bldg A, Charlotte MI 48813","12/14/2023","Active",,,
"AU-ER-003854","Adult-Use Entity Registration - License","Sunrise Forest, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-003812","Adult-Use Entity Registration - License","Green Mountain Monroe, LLC",,"03/15/2025","Active - Main Prequalified",,,
"AU-ER-003784","Adult-Use Entity Registration - License","VJAS1LLC",,"03/15/2025","Active - Main Prequalified",,,
"AU-G-C-001133","Class C Marihuana Grower - License","Emerald Mountain Labs, LLC","21445 Hoover RD Suite 316, Warren MI 48089","10/26/2023","Active",,,
"AU-ER-003783","Adult-Use Entity Registration - License","Vassar Team LLC",,"03/14/2025","Active - Main Prequalified",,,
"AU-ER-003826","Adult-Use Entity Registration - License","Oasis Wellness Center of Battle Creek, LLC",,"03/14/2025","Active - Main Prequalified",,,
"AU-P-000404","Marihuana Processor - License","NOXX","330 Ann NW ST Suite B, Grand Rapids MI 49504","08/23/2023","Active",,,
"AU-ER-003802","Adult-Use Entity Registration - License","The New Reserve, LLC",,"03/14/2025","Active - Main Prequalified",,,
"AU-ER-003813","Adult-Use Entity Registration - License","DOC Extracts, LLC",,"03/14/2025","Active - Main Prequalified",,,
"AU-G-C-001140","Class C Marihuana Grower - License","Insane Gorilla Cultivation","12420 S. Straits HWY, Wolverine MI 49799","03/14/2024","Active",,,
"AU-MEO-000176","Marihuana Event Organizer - License","HOD Event Pros LLC",,"03/13/2024","Active",,,
"AU-SP-000248","Sole Proprietor Registration - License","CELIA NASSER",,"03/13/2025","Active - Main Prequalified",,,
"AU-P-000401","Marihuana Processor - License","Myndset Alchemy, LLC","1000 Crandall PKWY, Lawrence MI 49064","03/13/2024","Active",,,
"AU-G-C-001130","Class C Marihuana Grower - License","Myndset Herbs, LLC","1000 Crandall PKWY, Lawrence MI 49064","03/10/2024","Active",,,
"AU-R-000933","Marihuana Retailer - License","Zella Cannabis, LLC","1105 W Chisholm St, Alpena MI 49707","03/10/2024","Active",,,
"AU-G-C-001129","Class C Marihuana Grower - License","Myndset Herbs, LLC","1000 Crandall PKWY, Lawrence MI 49064","03/10/2024","Active",,,
"AU-R-000927","Marihuana Retailer - License","JAR Capital, LLC","14930 Laplaisance RD Unit 121/122, Monroe MI 48161","03/10/2024","Active","Home Delivery - Approved",,
"AU-G-C-001146","Class C Marihuana Grower - License","Traverse City Cannabis Company","924 Hastings ST, TRAVERSE CITY MI 49686","01/21/2024","Active",,,
"AU-G-C-001110","Class C Marihuana Grower - License","BETTER MADE CANNABIS","4160 COMMERCE DR, FLUSHING MI 48433","03/10/2024","Active",,,
"AU-G-C-001109","Class C Marihuana Grower - License","BETTER MADE CANNABIS","4160 COMMERCE DR, FLUSHING MI 48433","03/10/2024","Active",,,
"AU-ST-000139","Marihuana Secure Transporter - License","West Michigan Secured Transport, Inc.","1601 College Ave, SE, Grand Rapids MI 49507","03/12/2024","Active",,,
